Date,Open,High,Low,Close,Adj Close,Volume,Return,Volatility_5d,Volatility_20d,MA_5d,MA_20d,MA_50d,EMA_12d,EMA_20d,EMA_26d,EMA_50d,Dist_EMA20,Dist_EMA50,EMA20_cross_EMA50,MACD,MACD_Signal,MACD_Histogram,RSI_14d,StochRSI_K,StochRSI_D,StochRSI_Raw,Volume_Change,Vol_MA_5d,Vol_MA_20d,Vol_Ratio,price_bin,Dist_HighVol_Zone_1,Dist_HighVol_Zone_2,Dist_HighVol_Zone_3
2006-01-23,44.25,44.75,43.5,44.20000076293945,44.20000076293945,51400,-0.0011299262612552985,0.008806741718630976,0.01353654543114574,44.61000061035156,44.41750011444092,39.48799995422363,44.37320336902789,43.77286826551199,43.12709589206102,40.52181574207525,0.009663630996712658,0.08321685423924852,3.2510525234367407,1.2461074769668699,1.6228188177852667,-0.37671134081839686,43.54839404341248,7.825855667537897,9.532924617207692,0.0,1.056,29780.0,84705.0,0.6068118765126026,5,0.5724993228912325,7.067499303817748,5.9225006580352755
2006-01-24,44.5,44.5,43.5,44.5,44.5,28600,0.006787312938512091,0.008618729910541916,0.013590831564179489,44.51000061035156,44.48500003814697,39.757999954223635,44.3927105430236,43.842118906891805,43.2287924926491,40.67782296787622,0.014783844788948194,0.08589161869941085,3.164295939015588,1.1639180503744981,1.531038664303113,-0.36712061392861495,50.0,8.868751718840993,9.027022159473827,14.600544718243356,-0.44357976653696496,31380.0,80255.0,0.35636408946483084,5,0.27250008583068563,6.767500066757201,6.222499895095822
2006-01-25,44.0,45.0,44.0,44.5,44.5,112900,0.0,0.008263794646192299,0.012909016630718147,44.470000457763675,44.51000003814697,40.02799995422363,44.40921661332766,43.90477424909259,43.32295601171213,40.827712263253616,0.013375859570953037,0.08252331992688502,3.0770619858389736,1.0862606016155283,1.4420830517655963,-0.35582245015006797,45.45454545454546,4.496909495853429,7.063838960744107,5.6597100189359235,2.9475524475524475,51060.0,85625.0,1.3185401459854014,5,0.27250008583068563,6.767500066757201,6.222499895095822
2006-01-26,44.0,45.5,44.0,44.5,44.5,82400,0.0,0.0077679118559169456,0.012875153606702864,44.39000015258789,44.54250011444092,40.297999954223634,44.42318328820033,43.96146241584568,43.41014445528901,40.97172354704759,0.012101968183243132,0.07928711130230139,2.989738868798092,1.0130388329113202,1.3562742079947412,-0.34323537508342095,50.0,6.031139605954727,6.465600273549716,21.479221541418173,-0.2701505757307352,60060.0,89695.0,0.9186688221194047,5,0.27250008583068563,6.767500066757201,6.222499895095822
2006-01-27,44.75,47.0,44.75,45.75,45.75,2700,0.028089887640449396,0.012335015536667746,0.013488357190963798,44.69000015258789,44.59000015258789,40.592999954223636,44.627308936169506,44.13179932862228,43.583467088230556,41.159106937359454,0.03537050647820156,0.10034738934733435,2.972692391262825,1.0438418479389497,1.293787735983583,-0.24994588804463325,62.5,11.08898457876691,7.205677893525022,70.80982961937056,-0.9672330097087378,55600.0,88515.0,0.030503304524656837,5,0.9774999141693144,5.517500066757201,7.472499895095822
2006-01-30,46.0,47.5,46.0,47.0,47.0,27500,0.02732240437158473,0.014211483156429842,0.01469935595390255,45.25,44.69000015258789,40.912999954223636,44.992338330604966,44.40496129732492,43.836543600213474,41.38816156726693,0.05521358941861879,0.11940081771772496,3.01679973005799,1.1557947303914915,1.2661891348651648,-0.11039440447367332,71.42857142857143,18.23184172162405,11.78398863544856,100.0,9.185185185185185,50820.0,85835.0,0.3203821285023592,5,2.2274999141693144,4.267500066757201,8.722499895095822
2006-01-31,46.900001525878906,48.25,46.900001525878906,48.0,48.0,9600,0.02127659574468077,0.014247912072542683,0.01528410973738111,45.95,44.84000015258789,41.26799995422363,45.4550555105119,44.74734593567492,44.14494777797544,41.647449348942736,0.0677636263401058,0.13234480523035966,3.0998965867321857,1.3101077325364585,1.2749728543994236,0.035134878137034864,77.41935483870968,25.374698864481193,18.23184172162405,100.0,-0.6509090909090909,47020.0,85280.0,0.1125703564727955,5,3.2274999141693144,3.2675000667572007,9.722499895095822
2006-02-01,47.75,49.0,47.75,48.75,48.75,30700,0.015625,0.011489331412533998,0.01512183521018797,46.8,45.05250015258789,41.62299995422363,45.96197004735622,45.128551084658255,44.48606275738466,41.92598074702342,0.07428613159675374,0.13997988211234016,3.202570337634839,1.475907289971559,1.3151597415138507,0.16074754845770833,79.41176470588235,32.517556007338335,25.37469886448119,100.0,2.1979166666666665,30580.0,76710.0,0.4002085777603963,6,3.9774999141693144,2.5175000667572007,10.472499895095822
2006-02-02,48.0,48.75,48.0,48.25,48.25,67500,-0.01025641025641022,0.015739264185352094,0.015392557755529128,47.55,45.21500015258789,41.96199996948242,46.313974655455254,45.42583193373842,44.76487292350431,42.1739815020421,0.05853198064790835,0.1259278445172621,3.251850431696319,1.549101731950941,1.361948139601269,0.1871535923496721,74.28571428571428,38.33622454244518,32.0761598047549,85.7067243667301,1.1986970684039089,27600.0,79445.0,0.8496444080810623,6,3.4774999141693144,3.0175000667572007,9.972499895095822
2006-02-03,48.25,49.0,47.5,47.75,47.75,37000,-0.010362694300518172,0.017858120934833896,0.01535576694140786,47.95,45.37750015258789,42.26699996948242,46.534901631539064,45.64718127338239,44.98599344768918,42.392648894118885,0.04403808851555211,0.11219583467813854,3.2545323792635017,1.548908183849882,1.3993401484509915,0.1495680353988904,63.333333333333336,39.53025500583249,36.79467851853867,55.16753981695677,-0.45185185185185184,34460.0,76900.0,0.4811443433029909,5,2.9774999141693144,3.5175000667572007,9.472499895095822
2006-02-06,47.75,48.25,47.75,47.75,47.75,59600,0.0,0.014632067797653473,0.015228328977926045,48.1,45.55250015258789,42.56199996948242,46.72183984207152,45.84744972353644,45.19073467378628,42.60274109434952,0.03984398484740435,0.10779599802409386,3.244708629186924,1.5311051682852366,1.4256931524178404,0.10541201586739612,70.37037037037038,44.87235034304088,40.91294329710618,74.78933472091745,0.6108108108108108,40880.0,75495.0,0.789456255381151,5,2.9774999141693144,3.5175000667572007,9.472499895095822
2006-02-07,47.75,47.75,47.75,47.75,47.75,6200,0.0,0.010626991500992689,0.015093225165891221,48.05,45.74000015258789,42.86199996948242,46.88001832790667,46.02864498796154,45.380309883135446,42.804594384767185,0.03604931962384206,0.1035687039839333,3.2240506031943568,1.4997084447712226,1.4404962108885169,0.05921223388270569,73.64340214178962,50.8663308191926,45.08964538935532,83.91572666612407,-0.8959731543624161,40200.0,75180.0,0.08246874168661879,5,2.9774999141693144,3.5175000667572007,9.472499895095822
2006-02-08,48.0,48.0,47.72999954223633,47.75,47.75,112100,0.0,0.0056468993697400185,0.014950136525222724,47.85,45.94000015258789,43.16199996948242,47.01386166207487,46.19258356053663,45.55584248438468,42.998531859874355,0.03261605108823805,0.09950718618064179,3.1940517006622784,1.458019177690197,1.444000804248853,0.014018373441343934,72.79998779296875,56.69232964457975,50.810336935604404,81.56398355542007,17.080645161290324,56480.0,39265.0,2.854959887940914,5,2.9774999141693144,3.5175000667572007,9.472499895095822
2006-02-09,47.5,48.25,47.5,48.25,48.25,300,0.010471204188481575,0.007365955393628685,0.01496800416000688,47.85,46.16500015258789,43.46699996948242,47.204036790986436,46.38852798334267,45.75540970776359,43.20447178693811,0.038579730915177836,0.10457053291319984,3.184056196404562,1.4486270832228456,1.4449260600436515,0.003701023179194074,82.78689344734903,63.835186787436896,57.13128241706975,100.0,-0.9973238180196253,43040.0,38930.0,0.007706139224248652,6,3.4774999141693144,3.0175000667572007,9.972499895095822
2006-02-10,48.25,48.25,48.25,48.25,48.25,0,0.0,0.0046828648743451,0.015008384749467937,47.95,46.37750015258789,43.77199996948242,47.36495420775775,46.565811032548126,45.940194173855176,43.40233563843073,0.03490547082801811,0.10046972770091755,3.1634753941173983,1.4247600339025723,1.4408928548154358,-0.0161328209128635,83.47107229577338,70.97804393029404,63.835186787436896,100.0,-1.0,35640.0,36810.0,0.0,6,3.4774999141693144,3.0175000667572007,9.972499895095822
2006-02-13,47.0,48.25,47.0,48.25,48.25,16200,0.0,0.0046828648743451,0.012554729508080039,48.05,46.50250015258789,44.04599998474121,47.501115098871935,46.72620998182926,46.11129090171776,43.59244012319815,0.031581140272968766,0.09652973837931292,3.133769858631105,1.3898241971541765,1.4306791232831841,-0.04085492612900765,82.6086956521739,76.91597461874751,70.57640177882615,97.73157435659206,inf,26960.0,37110.0,0.43654001616814875,6,3.4774999141693144,3.0175000667572007,9.972499895095822
